site,lat,lon,Kelvindist,nearrivdis,Clydedist
J0,55.86744,-4.304138,21.4139,21.414,442.987
J1,55.866335,-4.300341,263.3707,263.371,601.22
J2,55.86391,-4.299476,502.765,151.968,644.016
I0,55.87027,-4.289816,60.8756,60.876,1374.961
I1,55.872184,-4.289576,270.7165,270.717,1492.461
I2,55.874609,-4.289047,477.0158,477.016,1679.714
H0,55.87946,-4.285388,22.6091,22.609,2218.31
H1,55.880619,-4.282212,254.5982,254.598,2449.03
H2,55.88256,-4.280095,500.0382,97.346,2696.677
G0,55.884608,-4.290392,10.9699,10.97,2500.82
F0,55.895496,-4.301843,11.4112,11.411,3439.399
F1,55.896736,-4.298619,255.0596,255.06,3609.08
F2,55.897895,-4.295107,509.8282,509.828,3782.466
E0,55.899728,-4.314641,17.9699,17.97,3888.893
E1,55.897653,-4.316999,275.0977,236.854,3674.324
E2,55.89582,-4.316469,464.4321,168.059,3467.694
B1,55.915629,-4.278508,209.5456,209.546,5972.371
B2,55.913608,-4.277353,298.404,298.404,5784.926
B0,55.917812,-4.278829,29.8601,29.86,6196.384
A2,55.922178,-4.26197,429.0182,429.018,7037.864
A1,55.923741,-4.266161,207.2325,207.232,7091.293
A0,55.924685,-4.267943,56.3038,56.304,7147.064
G1,55.883368,-4.29376,191.815,191.815,2281.471
G2,55.882883,-4.297946,370.1199,370.12,2129.556
D2,55.902881,-4.313101,311.8601,311.86,4232.815
D1,55.903932,-4.310215,273.2065,273.207,4344.345
C0,55.909915,-4.295492,8.2257,8.226,5087.564
C1,55.912098,-4.295444,116.0449,116.045,5327.592
C2,55.913689,-4.299293,414.0315,414.031,5468.726
D0,55.906789,-4.308434,17.263,17.263,4662.853
