site,mean_noise,lon,lat
A0,41.11474435,-4.267943,55.924685
A1,40.69549825,-4.266161,55.923741
A2,23.24483017,-4.26197,55.922178
B0,45.70197893,-4.278829,55.917812
B1,41.45455791,-4.278508,55.915629
B2,45.34945564,-4.277353,55.913608
C0,0,-4.295492,55.909915
C1,0,-4.295444,55.912098
C2,0,-4.299293,55.913689
D0,44.27220114,-4.308434,55.906789
D1,57.96981775,-4.310215,55.903932
D2,50.86226942,-4.313101,55.902881
E0,45.29614112,-4.314641,55.899728
E1,49.80813548,-4.316999,55.897653
E2,50.92778539,-4.316469,55.89582
F0,53.45016501,-4.301843,55.895496
F1,61.01067618,-4.298619,55.896736
F2,54.41421284,-4.295107,55.897895
G0,38.6467768,-4.290392,55.884608
G1,48.00979632,-4.29376,55.883368
G2,49.94580111,-4.297946,55.882883
H0,52.13252296,-4.285388,55.87946
H1,48.4704246,-4.282212,55.880619
H2,58.02522629,-4.280095,55.88256
I0,47.21066147,-4.289816,55.87027
I1,49.43133165,-4.289576,55.872184
I2,50.73079816,-4.289047,55.874609
J0,69.84958113,-4.304138,55.86744
J1,61.44059161,-4.300341,55.866335
J2,69.79713925,-4.299476,55.86391
