"","site","sitetemp","sitehum"
"1","A0",-0.299682622492958,-0.264210854824716
"2","A1",-0.641441917669255,0.635142180986517
"3","A2",-0.844245761922113,0.405902588174517
"4","B0",-0.255231917024139,4.16913665935275
"5","B1",-0.583758473022509,0.224878379455355
"6","B2",-0.0370133307817126,-0.172002593827414
"7","C0",-0.563689039630808,3.60421384939365
"8","C1",-0.320428804307407,-0.28084831041523
"9","C2",-0.662593240063258,4.58672926212659
"10","D0",-0.47606702357765,0.536678282015637
"11","D1",0.286436652994818,0.460910104170226
"12","D2",-0.366324880329396,-2.28421396258847
"13","E0",-0.227904009077168,5.89192839856454
"14","E1",-0.65478285624046,3.62330078108484
"15","E2",-0.0516945118544184,1.46178515574305
"16","F0",0.220536733991255,2.63177453888144
"17","F1",-0.0658311501142184,-1.17886205379739
"18","F2",0.674840162212491,-2.15003405048649
"19","G0",0.257693422482566,3.30324174634656
"20","G1",0.295884139866592,-0.640709602857654
"21","G2",0.159157180396454,0.277010065608814
"22","H0",0.649641761906809,0.44671195901164
"23","H1",0.38107651058618,-4.48937538612568
"24","H2",0.264693512528308,-2.56118308875358
"25","I0",-0.0349373273691875,1.30981940824556
"26","I1",0.862665264658747,-2.58008881638626
"27","I2",0.511593227336028,-4.72860749915969
"28","J0",0.434526391587804,-2.59837530755608
"29","J1",0.333702404883659,-2.77431257121818
"30","J2",0.75317949971213,-6.86633930495561
